RaceName,Sex,AgeGroup,CountyName,2020_Biden_Support,count
Caucasian,M,45-64,Macomb,4. Lean Oppose,13
Asian,F,45-64,Macomb,5. Strong Oppose,8
Black,F,18-29,Genesee,Undecided/Unsure,211
Hispanic,F,30-44,Ottawa,2. Lean Support,7
Caucasian,M,18-29,Wayne,Undecided/Unsure,53
Caucasian,M,65+,Lapeer,1. Strong Support,7
Caucasian,F,45-64,Iosco,Undecided/Unsure,2
Black,M,45-64,Livingston,1. Strong Support,4
Caucasian,F,65+,Lenawee,2. Lean Support,1
Hispanic,F,30-44,Ottawa,5. Strong Oppose,4
Caucasian,F,45-64,Osceola,5. Strong Oppose,3
Caucasian,F,30-44,Manistee,2. Lean Support,1
Asian,M,30-44,Eaton,Undecided/Unsure,1
Caucasian,F,65+,Wayne,4. Lean Oppose,15
Caucasian,F,65+,Saginaw,Undecided/Unsure,2
Caucasian,F,45-64,Marquette,5. Strong Oppose,9
Hispanic,M,30-44,Allegan,5. Strong Oppose,4
Hispanic,F,65+,Ottawa,Not Voting,3
Hispanic,M,18-29,Kent,2. Lean Support,48
Black,M,18-29,Washtenaw,4. Lean Oppose,12
Hispanic,F,45-64,Oakland,5. Strong Oppose,15
Caucasian,F,18-29,Shiawassee,5. Strong Oppose,8
Caucasian,M,30-44,Marquette,Undecided/Unsure,3
Unknown,M,30-44,Washtenaw,Undecided/Unsure,5
Black,F,30-44,St. Clair,5. Strong Oppose,10
Caucasian,F,65+,Antrim,Undecided/Unsure,1
Caucasian,M,30-44,Gogebic,4. Lean Oppose,1
Caucasian,F,45-64,Emmet,5. Strong Oppose,2
Caucasian,M,45-64,Macomb,1. Strong Support,218
Caucasian,F,65+,St. Clair,5. Strong Oppose,30
Caucasian,M,45-64,Muskegon,1. Strong Support,15
Caucasian,F,30-44,Kent,5. Strong Oppose,169
Unknown,M,45-64,Wayne,2. Lean Support,15
Asian,F,18-29,Wayne,1. Strong Support,100
Caucasian,F,18-29,Charlevoix,5. Strong Oppose,2
Black,F,45-64,Muskegon,5. Strong Oppose,36
Caucasian,F,45-64,St. Joseph,5. Strong Oppose,4
Unknown,F,18-29,Ingham,5. Strong Oppose,7
Caucasian,M,65+,Grand Traverse,5. Strong Oppose,2
Unknown,M,18-29,Washtenaw,Not Voting,7
Caucasian,M,45-64,Mecosta,5. Strong Oppose,3
Caucasian,M,45-64,Iron,5. Strong Oppose,2
Caucasian,M,65+,Genesee,Undecided/Unsure,62
Caucasian,F,45-64,Saginaw,5. Strong Oppose,27
Caucasian,F,45-64,Kalamazoo,2. Lean Support,19
Caucasian,F,45-64,Kalamazoo,Undecided/Unsure,14
Caucasian,F,45-64,Lenawee,1. Strong Support,18
Caucasian,M,45-64,Kent,Not Voting,6
Caucasian,F,18-29,St. Clair,5. Strong Oppose,35
Black,F,65+,Macomb,1. Strong Support,133
Hispanic,F,18-29,Genesee,5. Strong Oppose,2
Black,M,30-44,Chippewa,1. Strong Support,4
Black,M,18-29,Clinton,1. Strong Support,4
Caucasian,F,45-64,Delta,5. Strong Oppose,1
Caucasian,M,45-64,Van Buren,5. Strong Oppose,4
Caucasian,M,65+,Leelanau,1. Strong Support,3
Black,M,45-64,Ottawa,Undecided/Unsure,3
Hispanic,F,30-44,Kalamazoo,Not Voting,5
Caucasian,M,18-29,Shiawassee,4. Lean Oppose,4
Caucasian,M,45-64,Wayne,5. Strong Oppose,430
Caucasian,F,45-64,Ingham,Undecided/Unsure,5
Caucasian,M,65+,Macomb,Not Voting,6
Unknown,F,45-64,Genesee,Undecided/Unsure,15
Hispanic,F,45-64,Saginaw,5. Strong Oppose,17
Caucasian,F,65+,Lenawee,1. Strong Support,10
Caucasian,F,45-64,Midland,1. Strong Support,7
Caucasian,F,18-29,Marquette,5. Strong Oppose,18
Caucasian,F,18-29,Macomb,4. Lean Oppose,34
Asian,F,45-64,Oakland,2. Lean Support,34
Caucasian,F,65+,Clare,1. Strong Support,3
Caucasian,F,18-29,Isabella,1. Strong Support,19
Asian,F,45-64,Ottawa,1. Strong Support,1
Black,M,45-64,Jackson,5. Strong Oppose,8
Black,F,65+,Saginaw,2. Lean Support,5
Unknown,F,18-29,Ottawa,1. Strong Support,1
Caucasian,F,45-64,Lenawee,2. Lean Support,1
Hispanic,F,45-64,Kalamazoo,5. Strong Oppose,3
Caucasian,F,30-44,Lenawee,Undecided/Unsure,6
Asian,F,30-44,Wayne,4. Lean Oppose,10
Caucasian,F,18-29,Berrien,Undecided/Unsure,4
Black,F,65+,Kent,Undecided/Unsure,2
Caucasian,F,30-44,Cass,5. Strong Oppose,2
Caucasian,F,45-64,Arenac,4. Lean Oppose,2
Unknown,M,18-29,Wayne,Undecided/Unsure,1
Caucasian,M,45-64,Ogemaw,1. Strong Support,1
Caucasian,M,18-29,Monroe,Undecided/Unsure,1
Hispanic,M,45-64,Washtenaw,Undecided/Unsure,4
Caucasian,F,30-44,Oakland,4. Lean Oppose,74
Hispanic,F,30-44,Ingham,1. Strong Support,46
Hispanic,M,18-29,Wayne,5. Strong Oppose,28
Unknown,M,45-64,Oakland,5. Strong Oppose,36
Hispanic,M,18-29,Oakland,4. Lean Oppose,2
Caucasian,F,18-29,St. Clair,1. Strong Support,6
Unknown,M,18-29,Macomb,4. Lean Oppose,8
Caucasian,F,45-64,St. Joseph,1. Strong Support,6
Caucasian,F,30-44,Ingham,Not Voting,11
Caucasian,F,30-44,Gratiot,1. Strong Support,9
Caucasian,F,18-29,Eaton,5. Strong Oppose,4
Caucasian,M,30-44,Lapeer,1. Strong Support,1
Caucasian,M,65+,St. Clair,Undecided/Unsure,1
Caucasian,F,30-44,Leelanau,4. Lean Oppose,1
Unknown,M,18-29,Ingham,5. Strong Oppose,2
Unknown,F,45-64,Berrien,1. Strong Support,1
Hispanic,M,30-44,Washtenaw,Not Voting,1
Unknown,F,18-29,Saginaw,1. Strong Support,1
Caucasian,F,65+,Kent,Not Voting,2
Hispanic,M,45-64,Ingham,5. Strong Oppose,9
Caucasian,M,30-44,Washtenaw,1. Strong Support,275
Black,M,30-44,Wayne,4. Lean Oppose,125
Black,F,30-44,Wayne,4. Lean Oppose,156
Black,F,30-44,Muskegon,1. Strong Support,72
Caucasian,F,18-29,Kalamazoo,Undecided/Unsure,19
Caucasian,M,30-44,Eaton,4. Lean Oppose,7
Unknown,F,30-44,Oakland,5. Strong Oppose,32
Hispanic,F,45-64,Calhoun,1. Strong Support,6
Caucasian,F,65+,Tuscola,5. Strong Oppose,3
Caucasian,F,30-44,Sanilac,2. Lean Support,1
Caucasian,F,65+,Branch,5. Strong Oppose,2
Caucasian,F,45-64,Lapeer,1. Strong Support,5
Caucasian,F,65+,Ingham,Not Voting,2
Caucasian,M,18-29,Antrim,4. Lean Oppose,1
Hispanic,F,45-64,Muskegon,Not Voting,3
Unknown,F,30-44,St. Clair,1. Strong Support,3
Asian,F,18-29,Ingham,1. Strong Support,7
Unknown,M,30-44,Eaton,Undecided/Unsure,3
Hispanic,M,18-29,Calhoun,1. Strong Support,3
Caucasian,F,45-64,Monroe,Not Voting,4
Native American,M,30-44,Wayne,5. Strong Oppose,1
Unknown,F,45-64,Montcalm,1. Strong Support,1
Caucasian,F,30-44,Oakland,Not Voting,48
Hispanic,F,18-29,Kent,Not Voting,4
Caucasian,F,18-29,Allegan,Undecided/Unsure,5
Black,F,65+,Oakland,Undecided/Unsure,103
Hispanic,M,18-29,Macomb,1. Strong Support,9
Caucasian,F,30-44,Montcalm,5. Strong Oppose,6
Asian,F,18-29,Kalamazoo,1. Strong Support,1
Black,F,45-64,Ingham,4. Lean Oppose,9
Black,M,30-44,Eaton,5. Strong Oppose,17
Hispanic,F,45-64,Lenawee,5. Strong Oppose,6
Caucasian,M,30-44,Leelanau,5. Strong Oppose,4
Caucasian,F,65+,Livingston,4. Lean Oppose,1
Caucasian,F,65+,Otsego,5. Strong Oppose,3
Black,F,18-29,Kalamazoo,Undecided/Unsure,18
Caucasian,M,45-64,Marquette,5. Strong Oppose,3
Caucasian,M,30-44,Berrien,1. Strong Support,12
Hispanic,M,45-64,Bay,5. Strong Oppose,3
Asian,F,45-64,Kalamazoo,5. Strong Oppose,6
Unknown,M,18-29,Washtenaw,5. Strong Oppose,5
Caucasian,M,18-29,Monroe,1. Strong Support,3
Unknown,F,30-44,Ingham,Undecided/Unsure,3
Asian,M,45-64,Macomb,2. Lean Support,1
Caucasian,F,45-64,Wayne,1. Strong Support,852
Black,M,30-44,Wayne,Undecided/Unsure,693
Caucasian,F,45-64,Ottawa,4. Lean Oppose,2
Unknown,F,18-29,Oakland,2. Lean Support,1
Black,M,45-64,Washtenaw,Undecided/Unsure,55
Unknown,F,30-44,Muskegon,Not Voting,6
Caucasian,M,18-29,Crawford,1. Strong Support,2
Caucasian,M,30-44,Benzie,4. Lean Oppose,2
Caucasian,F,45-64,Grand Traverse,Undecided/Unsure,1
Caucasian,F,45-64,Gladwin,Undecided/Unsure,1
Hispanic,M,45-64,Allegan,5. Strong Oppose,3
Caucasian,F,30-44,Barry,1. Strong Support,5
Caucasian,F,30-44,Chippewa,5. Strong Oppose,2
Caucasian,F,30-44,Luce,5. Strong Oppose,1
Caucasian,F,18-29,Lenawee,5. Strong Oppose,1
Black,F,65+,Wayne,Not Voting,75
Caucasian,F,45-64,Macomb,1. Strong Support,425
Hispanic,M,65+,Saginaw,5. Strong Oppose,11
Caucasian,M,45-64,Washtenaw,1. Strong Support,108
Caucasian,M,45-64,Macomb,Undecided/Unsure,17
Caucasian,M,65+,Livingston,2. Lean Support,2
Asian,M,65+,Washtenaw,1. Strong Support,15
Unknown,M,30-44,Wayne,1. Strong Support,99
Asian,F,18-29,Wayne,Undecided/Unsure,19
Caucasian,M,30-44,Antrim,1. Strong Support,1
Black,M,30-44,Gratiot,1. Strong Support,4
Black,F,18-29,Ingham,2. Lean Support,7
Caucasian,F,18-29,Chippewa,5. Strong Oppose,1
Hispanic,M,18-29,Kent,5. Strong Oppose,20
Caucasian,F,45-64,Eaton,Undecided/Unsure,1
Caucasian,M,45-64,Manistee,4. Lean Oppose,1
Black,F,30-44,Chippewa,1. Strong Support,1
Hispanic,M,18-29,Van Buren,1. Strong Support,1
Black,F,18-29,Livingston,5. Strong Oppose,1
Caucasian,F,65+,Genesee,Undecided/Unsure,65
