,index,Voter File VANID,StateFileID,General20,General19,General18,General17,General16,General15,General14,General12,General11,General10,General09,General08,General06,General04,General02,General00,General98,Municipal13,PresPrimary20,PresPrimary20Party,PresPrimary16,PresPrimary16Party,PresPrimary12,PresPrimary12Party,PresPrimary08,PresPrimary08Party,Primary20,Primary20Party,Primary19Party,Primary18,Primary18Party,Primary17,Primary17Party,Primary16,Primary16Party,Primary15,Primary15Party,Primary14,Primary14Party,Primary12,Primary12Party,Primary11,Primary11Party,Primary10,Primary10Party,Primary09,Primary09Party,Primary08,Primary08Party,Primary06,Primary04,Primary02,Primary01,Primary00,Primary98,Special20,Special19,Special18,Special17,Special16,Special15,Special13,Special12,Special11,Special10,Special09,Special08,Special07,Special06,Special05,Special04,Special03,Special02,Special01,Special00,Special99,Special98,Ballot_Application,Voting_Nov_Gen ,VotedStatus
0,0,66785,276414.0,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,
1,1,48569,238652.0,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,39510,32478500.0,,,,,,,,P,,,,P,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
3,3,39871,220544.0,A,,A,,,,A,A,,,P,P,,Y,Y,Y,,Y,A,,,,,,,,A,,,,,,,A,,,,,,,,,,P,,P,,P,,Y,Y,,Y,,,A,,,,,,,,,,P,,,,Y,,,,Y,,,,,,
4,4,40164,221118.0,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
5,5,66677,276222.0,A,,P,,P,,P,P,,P,,P,Y,Y,,,,Y,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,P,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
6,6,40030,220874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,70462,283300.0,P,,P,P,P,,P,P,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
8,8,78175,298956.0,M,,Y,,,,,A,A,A,A,A,A,A,A,,,Y,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,A,,A,,,A,,,,,,,,,,,,,A,,A,,A,,Y,,A,,Y,,,,,,
9,9,48267,104761076.0,P,,,,P,,P,P,P,P,,P,Y,Y,,,,,P,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,,,
10,10,49639,241087.0,A,,,,A,,A,,,P,,A,Y,Y,A,A,,Y,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,,,,Y,,,,A,,,,,,,,,,,,,,Y,,,,Y,,,,,,
11,11,67268,277327.0,P,,P,,P,,P,P,,,,P,,Y,,,,,,,P,D,,,,,,,,,,,,P,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,39887,34361196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,58855,260623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,42261,225353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
