,index,Voter File VANID,ElectionType,CommunicationType,File
0,0,66785,lpv,text,LPVText220210621-7413166524.xls
1,1,48569,lpv,text,LPVText220210621-7413166524.xls
2,2,39510,lpv,text,LPVText220210621-7413166524.xls
3,3,39871,lpv,text,LPVText220210621-7413166524.xls
4,4,40164,lpv,text,LPVText220210621-7413166524.xls
5,5,66677,lpv,text,LPVText220210621-7413166524.xls
6,6,40030,lpv,text,LPVText220210621-7413166524.xls
7,7,70462,lpv,text,LPVText220210621-7413166524.xls
8,8,78175,lpv,text,LPVText220210621-7413166524.xls
9,9,48267,lpv,text,LPVText220210621-7413166524.xls
10,10,49639,lpv,text,LPVText220210621-7413166524.xls
11,11,67268,lpv,text,LPVText220210621-7413166524.xls
12,12,39887,lpv,text,LPVText220210621-7413166524.xls
13,13,58855,lpv,text,LPVText220210621-7413166524.xls
14,14,42261,lpv,text,LPVText220210621-7413166524.xls
15,15,49240,lpv,text,LPVText220210621-7413166524.xls
16,16,49593,lpv,text,LPVText220210621-7413166524.xls
17,17,67073,lpv,text,LPVText220210621-7413166524.xls
18,18,49112,lpv,text,LPVText220210621-7413166524.xls
19,19,49914,lpv,text,LPVText220210621-7413166524.xls
20,20,50207,lpv,text,LPVText220210621-7413166524.xls
21,21,48027,lpv,text,LPVText220210621-7413166524.xls
22,22,80758,lpv,text,LPVText220210621-7413166524.xls
23,23,81876,lpv,text,LPVText220210621-7413166524.xls
24,24,40901,lpv,text,LPVText220210621-7413166524.xls
25,25,49962,lpv,text,LPVText220210621-7413166524.xls
26,26,50200,lpv,text,LPVText220210621-7413166524.xls
27,27,79416,lpv,text,LPVText220210621-7413166524.xls
28,28,50516,lpv,text,LPVText220210621-7413166524.xls
29,29,40256,lpv,text,LPVText220210621-7413166524.xls
30,30,69653,lpv,text,LPVText220210621-7413166524.xls
31,31,47781,lpv,text,LPVText220210621-7413166524.xls
32,32,69539,lpv,text,LPVText220210621-7413166524.xls
33,33,48515,lpv,text,LPVText220210621-7413166524.xls
34,34,60249,lpv,text,LPVText220210621-7413166524.xls
35,35,101391,lpv,text,LPVText220210621-7413166524.xls
36,36,58798,lpv,text,LPVText220210621-7413166524.xls
37,37,48095,lpv,text,LPVText220210621-7413166524.xls
38,38,48112,lpv,text,LPVText220210621-7413166524.xls
39,39,49465,lpv,text,LPVText220210621-7413166524.xls
40,40,50856,lpv,text,LPVText220210621-7413166524.xls
41,41,40627,lpv,text,LPVText220210621-7413166524.xls
42,42,77495,lpv,text,LPVText220210621-7413166524.xls
43,43,108730,lpv,text,LPVText220210621-7413166524.xls
44,44,108745,lpv,text,LPVText220210621-7413166524.xls
45,45,39622,lpv,text,LPVText220210621-7413166524.xls
46,46,41111,lpv,text,LPVText220210621-7413166524.xls
47,47,66630,lpv,text,LPVText220210621-7413166524.xls
48,48,70674,lpv,text,LPVText220210621-7413166524.xls
49,49,57258,lpv,text,LPVText220210621-7413166524.xls
50,50,81051,lpv,text,LPVText220210621-7413166524.xls
51,51,57209,lpv,text,LPVText220210621-7413166524.xls
52,52,68086,lpv,text,LPVText220210621-7413166524.xls
53,53,66637,lpv,text,LPVText220210621-7413166524.xls
54,54,40171,lpv,text,LPVText220210621-7413166524.xls
55,55,47798,lpv,text,LPVText220210621-7413166524.xls
56,56,56901,lpv,text,LPVText220210621-7413166524.xls
57,57,40777,lpv,text,LPVText220210621-7413166524.xls
58,58,70608,lpv,text,LPVText220210621-7413166524.xls
59,59,72012,lpv,text,LPVText220210621-7413166524.xls
60,60,69934,lpv,text,LPVText220210621-7413166524.xls
61,61,88822,lpv,text,LPVText220210621-7413166524.xls
62,62,90383,lpv,text,LPVText220210621-7413166524.xls
63,63,42128,lpv,text,LPVText220210621-7413166524.xls
64,64,77437,lpv,text,LPVText220210621-7413166524.xls
65,65,48629,lpv,text,LPVText220210621-7413166524.xls
66,66,67052,lpv,text,LPVText220210621-7413166524.xls
67,67,67252,lpv,text,LPVText220210621-7413166524.xls
68,68,39676,lpv,text,LPVText220210621-7413166524.xls
69,69,42208,lpv,text,LPVText220210621-7413166524.xls
70,70,40810,lpv,text,LPVText220210621-7413166524.xls
71,71,68620,lpv,text,LPVText220210621-7413166524.xls
72,72,48180,lpv,text,LPVText220210621-7413166524.xls
73,73,50181,lpv,text,LPVText220210621-7413166524.xls
74,74,71605,lpv,text,LPVText220210621-7413166524.xls
75,75,49858,lpv,text,LPVText220210621-7413166524.xls
76,76,50393,lpv,text,LPVText220210621-7413166524.xls
77,77,80278,lpv,text,LPVText220210621-7413166524.xls
78,78,50602,lpv,text,LPVText220210621-7413166524.xls
79,79,57566,lpv,text,LPVText220210621-7413166524.xls
80,80,87507,lpv,text,LPVText220210621-7413166524.xls
81,81,60463,lpv,text,LPVText220210621-7413166524.xls
82,82,78117,lpv,text,LPVText220210621-7413166524.xls
83,83,50684,lpv,text,LPVText220210621-7413166524.xls
84,84,44558,lpv,text,LPVText220210621-7413166524.xls
85,85,109820,lpv,text,LPVText220210621-7413166524.xls
86,86,70045,lpv,text,LPVText220210621-7413166524.xls
87,87,97889,lpv,text,LPVText220210621-7413166524.xls
88,88,98089,lpv,text,LPVText220210621-7413166524.xls
89,89,53350,lpv,text,LPVText220210621-7413166524.xls
90,90,68591,lpv,text,LPVText220210621-7413166524.xls
91,91,48144,lpv,text,LPVText220210621-7413166524.xls
92,92,40990,lpv,text,LPVText220210621-7413166524.xls
93,93,42247,lpv,text,LPVText220210621-7413166524.xls
94,94,50418,lpv,text,LPVText220210621-7413166524.xls
95,95,69617,lpv,text,LPVText220210621-7413166524.xls
96,96,78852,lpv,text,LPVText220210621-7413166524.xls
97,97,79969,lpv,text,LPVText220210621-7413166524.xls
98,98,80852,lpv,text,LPVText220210621-7413166524.xls
99,99,39638,lpv,text,LPVText220210621-7413166524.xls
100,100,48346,lpv,text,LPVText220210621-7413166524.xls
101,101,40975,lpv,text,LPVText220210621-7413166524.xls
102,102,42245,lpv,text,LPVText220210621-7413166524.xls
103,103,70657,lpv,text,LPVText220210621-7413166524.xls
104,104,48976,lpv,text,LPVText220210621-7413166524.xls
105,105,40247,lpv,text,LPVText220210621-7413166524.xls
106,106,48125,lpv,text,LPVText220210621-7413166524.xls
107,107,50058,lpv,text,LPVText220210621-7413166524.xls
108,108,41312,lpv,text,LPVText220210621-7413166524.xls
109,109,40243,lpv,text,LPVText220210621-7413166524.xls
110,110,49170,lpv,text,LPVText220210621-7413166524.xls
111,111,50599,lpv,text,LPVText220210621-7413166524.xls
112,112,48875,lpv,text,LPVText220210621-7413166524.xls
113,113,49675,lpv,text,LPVText220210621-7413166524.xls
114,114,48651,lpv,text,LPVText220210621-7413166524.xls
115,115,47747,lpv,text,LPVText220210621-7413166524.xls
116,116,49509,lpv,text,LPVText220210621-7413166524.xls
117,117,77144,lpv,text,LPVText220210621-7413166524.xls
118,118,68132,lpv,text,LPVText220210621-7413166524.xls
119,119,49411,lpv,text,LPVText220210621-7413166524.xls
120,120,49954,lpv,text,LPVText220210621-7413166524.xls
121,121,76831,lpv,text,LPVText220210621-7413166524.xls
122,122,76754,lpv,text,LPVText220210621-7413166524.xls
123,123,106993,lpv,text,LPVText220210621-7413166524.xls
124,124,50384,lpv,text,LPVText220210621-7413166524.xls
125,125,50401,lpv,text,LPVText220210621-7413166524.xls
126,126,39803,lpv,text,LPVText220210621-7413166524.xls
127,127,68840,lpv,text,LPVText220210621-7413166524.xls
128,128,70823,lpv,text,LPVText220210621-7413166524.xls
129,129,49897,lpv,text,LPVText220210621-7413166524.xls
130,130,76694,lpv,text,LPVText220210621-7413166524.xls
131,131,78134,lpv,text,LPVText220210621-7413166524.xls
132,132,79563,lpv,text,LPVText220210621-7413166524.xls
133,133,79795,lpv,text,LPVText220210621-7413166524.xls
134,134,71395,lpv,text,LPVText220210621-7413166524.xls
135,135,41781,lpv,text,LPVText220210621-7413166524.xls
136,136,70257,lpv,text,LPVText220210621-7413166524.xls
137,137,49258,lpv,text,LPVText220210621-7413166524.xls
138,138,77166,lpv,text,LPVText220210621-7413166524.xls
139,139,68659,lpv,text,LPVText220210621-7413166524.xls
140,140,67663,lpv,text,LPVText220210621-7413166524.xls
141,141,107292,lpv,text,LPVText220210621-7413166524.xls
142,142,39585,lpv,text,LPVText220210621-7413166524.xls
143,143,108230,lpv,text,LPVText220210621-7413166524.xls
144,144,40950,lpv,text,LPVText220210621-7413166524.xls
145,145,42022,lpv,text,LPVText220210621-7413166524.xls
146,146,79029,lpv,text,LPVText220210621-7413166524.xls
147,147,79002,lpv,text,LPVText220210621-7413166524.xls
148,148,41006,lpv,text,LPVText220210621-7413166524.xls
149,149,41331,lpv,text,LPVText220210621-7413166524.xls
150,150,42206,lpv,text,LPVText220210621-7413166524.xls
151,151,50655,lpv,text,LPVText220210621-7413166524.xls
152,152,51254,lpv,text,LPVText220210621-7413166524.xls
153,153,68518,lpv,text,LPVText220210621-7413166524.xls
154,154,68785,lpv,text,LPVText220210621-7413166524.xls
155,155,69725,lpv,text,LPVText220210621-7413166524.xls
156,156,48101,lpv,text,LPVText220210621-7413166524.xls
157,157,40322,lpv,text,LPVText220210621-7413166524.xls
158,158,67302,lpv,text,LPVText220210621-7413166524.xls
159,159,48309,lpv,text,LPVText220210621-7413166524.xls
160,160,78841,lpv,text,LPVText220210621-7413166524.xls
161,161,49523,lpv,text,LPVText220210621-7413166524.xls
162,162,80221,lpv,text,LPVText220210621-7413166524.xls
163,163,83095,lpv,text,LPVText220210621-7413166524.xls
164,164,51403,lpv,text,LPVText220210621-7413166524.xls
165,165,67037,lpv,text,LPVText220210621-7413166524.xls
166,166,83044,lpv,text,LPVText220210621-7413166524.xls
167,167,83359,lpv,text,LPVText220210621-7413166524.xls
168,168,52722,lpv,text,LPVText220210621-7413166524.xls
169,169,59040,lpv,text,LPVText220210621-7413166524.xls
170,170,88389,lpv,text,LPVText220210621-7413166524.xls
171,171,78131,lpv,text,LPVText220210621-7413166524.xls
172,172,69286,lpv,text,LPVText220210621-7413166524.xls
173,173,89579,lpv,text,LPVText220210621-7413166524.xls
174,174,70827,lpv,text,LPVText220210621-7413166524.xls
175,175,108527,lpv,text,LPVText220210621-7413166524.xls
176,176,78586,lpv,text,LPVText220210621-7413166524.xls
177,177,77873,lpv,text,LPVText220210621-7413166524.xls
178,178,40865,lpv,text,LPVText220210621-7413166524.xls
179,179,98976,lpv,text,LPVText220210621-7413166524.xls
180,180,48000,lpv,text,LPVText220210621-7413166524.xls
181,181,69528,lpv,text,LPVText220210621-7413166524.xls
182,182,47886,lpv,text,LPVText220210621-7413166524.xls
183,183,79210,lpv,text,LPVText220210621-7413166524.xls
184,184,50336,lpv,text,LPVText220210621-7413166524.xls
185,185,47988,lpv,text,LPVText220210621-7413166524.xls
186,186,48038,lpv,text,LPVText220210621-7413166524.xls
187,187,106640,lpv,text,LPVText220210621-7413166524.xls
188,188,49920,lpv,text,LPVText220210621-7413166524.xls
189,189,78457,lpv,text,LPVText220210621-7413166524.xls
190,190,77859,lpv,text,LPVText220210621-7413166524.xls
191,191,80449,lpv,text,LPVText220210621-7413166524.xls
192,192,57275,lpv,text,LPVText220210621-7413166524.xls
193,193,70850,lpv,text,LPVText220210621-7413166524.xls
194,194,39733,lpv,text,LPVText220210621-7413166524.xls
195,195,101006,lpv,text,LPVText220210621-7413166524.xls
196,196,58072,lpv,text,LPVText220210621-7413166524.xls
197,197,82602,lpv,text,LPVText220210621-7413166524.xls
198,198,49277,lpv,text,LPVText220210621-7413166524.xls
199,199,70405,lpv,text,LPVText220210621-7413166524.xls
