RaceName,Sex,AgeGroup,CountyName,CommunicationType,ElectionType,count
Caucasian,F,45-64,OAKLAND,text,lpv,32894
Caucasian,F,65+,OAKLAND,text,oakland,78415
Asian,M,45-64,MACOMB,mail,lpv,1724
Asian,F,45-64,OAKLAND,phone,oakland,834
Unknown,M,30-44,OAKLAND,text,oakland county prosecutor race,886
Caucasian,F,30-44,BARRY,call,lpv,1097
Caucasian,F,18-29,GENESEE,text,lpv,14644
Black,F,30-44,GENESEE,text,scomi,2070
Asian,F,18-29,WASHTENAW,text,lpv,3443
Hispanic,M,18-29,BAY,call,lpv,111
Caucasian,M,18-29,MARQUETTE,text,scomi,181
Caucasian,F,65+,WASHTENAW,postcards,lpv,274
Asian,M,18-29,MACOMB,mail,lpv,1245
Caucasian,F,65+,ISABELLA,text,lpv,574
Black,M,65+,KALKASKA,call,lpv,1
Hispanic,M,45-64,ALLEGAN,call,lpv,156
Black,M,65+,OAKLAND,phone,oakland prosecutor,1723
Caucasian,M,45-64,OTTAWA,text,scomi,306
Hispanic,F,65+,WASHTENAW,text,scomi,54
Black,M,18-29,MONROE,text,lpv,138
Black,F,45-64,KENT,text,scomi,118
Unknown,F,45-64,OAKLAND,call,oakland,370
Black,F,30-44,KALAMAZOO,text,oakland county prosecutor race,1
Asian,F,45-64,EATON,text,lpv,83
Caucasian,F,18-29,BENZIE,mail,lpv,2
Unknown,F,18-29,CALHOUN,mail,lpv,83
Caucasian,F,65+,GRAND TRAVERSE,text,scomi,17
Caucasian,F,18-29,OSCEOLA,call,lpv,113
Black,M,18-29,ST. CLAIR,call,lpv,86
Caucasian,M,65+,GOGEBIC,text,scomi,3
Caucasian,M,30-44,ALGER,text,lpv,144
Unknown,F,45-64,OTTAWA,call,lpv,82
Black,M,45-64,CHIPPEWA,text,lpv,67
Caucasian,M,30-44,ALLEGAN,call,oakland,6
Caucasian,F,65+,NEWAYGO,postcards,lpv,20
Hispanic,M,65+,CLINTON,text,lpv,44
