,Voter File VANID,year,participation,electiontype
38705901,11,2006,Y,General##
35509070,11,2008,P,General##
13131253,11,2016,P,General##
6737591,11,2018,P,General##
343929,11,2020,A,Special##
343929,11,2020,A,General##
343929,11,2020,A,Primary##
41860850,12,2004,A,General##
45057681,12,2005,A,Special##
41860850,12,2006,A,Special##
38664019,12,2006,A,General##
35467188,12,2006,A,Primary##
38664019,12,2007,A,Special##
35467188,12,2008,A,Special##
35467188,12,2008,A,General##
29073526,12,2010,A,General##
25876695,12,2010,A,Primary##
25876695,12,2011,A,Special##
22679864,12,2012,A,General##
19483033,12,2014,A,General##
16286202,12,2015,A,Special##
13089371,12,2016,A,General##
9892540,12,2016,P,Primary##
3498878,12,2016,P,PresPrimary##
3498878,12,2016,D,PresPrimary##Party
13089371,12,2016,D,Primary##Party
6695709,12,2018,A,General##
3498878,12,2018,A,Primary##
302047,12,2020,A,Special##
302047,12,2020,A,General##
302047,12,2020,A,Primary##
41845197,13,2004,A,General##
45042028,13,2005,A,Special##
41845197,13,2006,A,Special##
38648366,13,2006,A,General##
35451535,13,2006,A,Primary##
38648366,13,2007,A,Special##
35451535,13,2008,A,Special##
35451535,13,2008,A,General##
29057873,13,2010,A,General##
25861042,13,2010,A,Primary##
25861042,13,2011,A,Special##
22664211,13,2012,A,General##
19467380,13,2014,A,General##
16270549,13,2015,A,Special##
13073718,13,2016,A,General##
9876887,13,2016,P,Primary##
3483225,13,2016,P,PresPrimary##
3483225,13,2016,D,PresPrimary##Party
13073718,13,2016,D,Primary##Party
6680056,13,2018,A,General##
3483225,13,2018,A,Primary##
286394,13,2020,A,General##
42812625,18,2006,Y,Special##
36418963,18,2006,Y,Primary##
39615794,18,2007,Y,Special##
36418963,18,2008,P,General##
33222132,18,2008,P,Primary##
10844315,18,2008,P,PresPrimary##
33222132,18,2009,P,Special##
30025301,18,2010,Y,Special##
30025301,18,2010,P,General##
26828470,18,2011,Y,Special##
26828470,18,2011,P,General##
23631639,18,2012,Y,Special##
23631639,18,2012,P,General##
20434808,18,2012,P,Primary##
20434808,18,2014,P,General##
17237977,18,2014,P,Primary##
17237977,18,2015,P,Special##
14041146,18,2016,P,General##
10844315,18,2016,P,Primary##
4450653,18,2016,P,PresPrimary##
4450653,18,2016,D,PresPrimary##Party
14041146,18,2016,D,Primary##Party
7647484,18,2018,P,General##
4450653,18,2018,P,Primary##
1253822,18,2020,P,Special##
1253822,18,2020,P,General##
1253822,18,2020,P,Primary##
1253822,18,2020,P,PresPrimary##
36079539,29,2008,P,General##
29685877,29,2010,P,General##
26489046,29,2011,P,Special##
23292215,29,2012,P,General##
20095384,29,2014,P,General##
13701722,29,2016,P,General##
10504891,29,2016,P,Primary##
4111229,29,2016,P,PresPrimary##
4111229,29,2016,R,PresPrimary##Party
13701722,29,2016,R,Primary##Party
7308060,29,2018,P,General##
914398,29,2020,A,General##
42466974,36,2006,Y,Special##
39270143,36,2006,Y,General##
36073312,36,2006,Y,Primary##
39270143,36,2007,Y,Special##
36073312,36,2008,P,General##
32876481,36,2008,P,Primary##
29679650,36,2010,P,General##
26482819,36,2010,P,Primary##
26482819,36,2011,P,Special##
26482819,36,2011,P,General##
23285988,36,2012,P,General##
20089157,36,2012,P,Primary##
7301833,36,2012,P,PresPrimary##
20089157,36,2014,P,General##
16892326,36,2015,P,Special##
13695495,36,2016,P,General##
10498664,36,2016,P,Primary##
4105002,36,2016,P,PresPrimary##
4105002,36,2016,R,PresPrimary##Party
13695495,36,2016,R,Primary##Party
908171,36,2020,A,General##
36418304,63,2008,P,General##
33221473,63,2009,P,General##
30024642,63,2010,A,General##
23630980,63,2012,Y,General##
20434149,63,2014,A,General##
14040487,63,2016,A,General##
10843656,63,2016,P,Primary##
4449994,63,2016,P,PresPrimary##
4449994,63,2016,D,PresPrimary##Party
14040487,63,2016,D,Primary##Party
7646825,63,2018,P,General##
1253163,63,2020,A,General##
1253163,63,2020,A,Primary##
1253163,63,2020,A,PresPrimary##
1253163,63,2020,D,PresPrimary##Party
1253163,63,2020,D,Primary##Party
988507,74,2020,A,General##
36418069,86,2008,P,General##
23630745,86,2012,P,General##
1252928,86,2020,P,Special##
1252928,86,2020,P,General##
1252928,86,2020,P,Primary##
42813526,90,2006,Y,Special##
39616695,90,2006,Y,General##
36419864,90,2006,Y,Primary##
39616695,90,2007,Y,Special##
36419864,90,2008,P,General##
33223033,90,2008,P,Primary##
10845216,90,2008,P,PresPrimary##
33223033,90,2009,P,Special##
30026202,90,2009,P,Primary##
26829371,90,2010,P,Primary##
26829371,90,2011,P,Special##
23632540,90,2012,P,General##
20435709,90,2012,P,Primary##
17238878,90,2014,P,Primary##
17238878,90,2015,P,Special##
14042047,90,2016,P,Special##
14042047,90,2016,P,General##
10845216,90,2016,P,Primary##
4451554,90,2016,P,PresPrimary##
4451554,90,2016,R,PresPrimary##Party
14042047,90,2016,R,Primary##Party
10845216,90,2017,P,General##
7648385,90,2018,P,General##
1254723,90,2020,P,Special##
1254723,90,2020,P,General##
1254723,90,2020,P,Primary##
1254723,90,2020,P,PresPrimary##
39615168,103,2006,Y,General##
33221506,103,2009,P,Special##
30024675,103,2010,P,General##
23631013,103,2012,P,General##
20434182,103,2014,P,General##
14040520,103,2016,P,General##
10843689,103,2016,P,Primary##
4450027,103,2016,P,PresPrimary##
4450027,103,2016,D,PresPrimary##Party
14040520,103,2016,D,Primary##Party
10843689,103,2017,P,General##
1253196,103,2020,P,General##
1253196,103,2020,P,Primary##
1253196,103,2020,P,PresPrimary##
33222577,104,2009,P,Special##
14041591,104,2016,P,General##
41912657,114,2004,Y,General##
35518995,114,2008,A,General##
32322164,114,2009,A,General##
29125333,114,2010,A,General##
25928502,114,2010,A,Primary##
29125333,114,2010,D,Primary##Party
25928502,114,2011,A,General##
22731671,114,2012,A,General##
19534840,114,2012,A,Primary##
22731671,114,2012,D,Primary##Party
19534840,114,2014,A,General##
16338009,114,2014,A,Primary##
19534840,114,2014,D,Primary##Party
16338009,114,2015,M,General##
13141178,114,2016,A,General##
6747516,114,2018,A,General##
353854,114,2020,A,Special##
353854,114,2020,A,General##
353854,114,2020,A,Primary##
353854,114,2020,A,PresPrimary##
36418652,117,2008,P,General##
