RaceName,Sex,AgeGroup,CountyName,ElectionType,year,count
Caucasian,M,45-64,Eaton,Special##,2015,452
Caucasian,M,30-44,Lenawee,General##,2016,3592
Hispanic,M,45-64,Ottawa,General##,2012,1978
Caucasian,M,65+,Wayne,Special##,2001,3937
Black,F,65+,Oakland,Primary##,2015,10804
Caucasian,M,65+,Oakland,General##,2011,133019
Black,F,30-44,Jackson,Special##,2017,25
Caucasian,F,30-44,Genesee,Special##,2020,5175
Caucasian,M,30-44,Ottawa,Special##,2010,226
Asian,M,45-64,Wayne,General##,2010,3096
Black,M,30-44,Macomb,Primary##,2018,2469
Caucasian,F,45-64,Van Buren,Primary##,2018,321
Black,M,30-44,Genesee,Primary##Party,2016,2994
Unknown,F,30-44,Oakland,PresPrimary##,2008,256
Caucasian,F,45-64,Manistee,Special##,2019,1
Caucasian,M,65+,Jackson,Primary##,2012,496
Caucasian,M,65+,Jackson,Primary##Party,2016,570
Caucasian,F,45-64,Chippewa,General##,2008,269
Caucasian,F,30-44,Houghton,General##,2020,1258
Asian,F,65+,Oakland,General##,2000,6529
Asian,F,65+,Oakland,General##,2004,8571
Caucasian,M,18-29,Ingham,Special##,2020,3671
Asian,F,45-64,Wayne,General##,2018,5778
Hispanic,M,65+,Oakland,General##,2016,3347
Black,F,30-44,Kalamazoo,General##,2018,4635
Asian,M,45-64,Oakland,Special##,2019,1966
Caucasian,F,45-64,Livingston,PresPrimary##,2020,1449
Caucasian,M,18-29,Genesee,Primary##Party,2016,1269
Caucasian,F,30-44,Van Buren,Primary##,2012,262
Caucasian,M,18-29,Genesee,Special##,2020,4068
Caucasian,M,18-29,Washtenaw,PresPrimary##,2016,4918
Caucasian,M,65+,Bay,Special##,2008,83
Caucasian,M,30-44,Chippewa,Special##,2009,22
Caucasian,M,18-29,Ingham,Special##,2017,548
Asian,F,18-29,Washtenaw,PresPrimary##,2016,410
Caucasian,M,65+,Emmet,Primary##Party,2008,17
Caucasian,M,45-64,Genesee,General##,2008,4024
Caucasian,M,18-29,Otsego,Primary##Party,2016,93
Caucasian,M,65+,Muskegon,Special##,2020,749
Caucasian,F,65+,Washtenaw,Special##,2013,326
Unknown,F,18-29,Kent,General##,2018,894
Black,F,65+,Berrien,General##,2014,1045
Unknown,M,30-44,Wayne,Primary##,2016,1489
Caucasian,F,30-44,Missaukee,Special##,2018,102
Caucasian,M,65+,Van Buren,Special##,2020,234
Caucasian,F,45-64,Antrim,Special##,2006,50
Caucasian,F,45-64,Presque Isle,Primary##,2016,87
Caucasian,F,65+,Muskegon,General##,1998,903
Caucasian,M,65+,Saginaw,General##,2011,467
Caucasian,M,65+,Allegan,PresPrimary##,2020,375
Caucasian,F,65+,Clinton,PresPrimary##,2012,234
Caucasian,F,45-64,Calhoun,Primary##,2006,221
Caucasian,M,65+,Eaton,Special##,2007,367
Caucasian,F,45-64,Calhoun,General##,1998,265
Caucasian,F,45-64,Calhoun,PresPrimary##,2016,777
Caucasian,F,65+,Ogemaw,Primary##,2010,150
Caucasian,F,45-64,Tuscola,Special##,2007,78
Unknown,M,45-64,Wayne,General##,2012,4535
Black,M,65+,Oakland,Primary##,2011,6372
Caucasian,M,65+,Cheboygan,General##,2012,238
Unknown,F,65+,Isabella,General##,2011,2
Hispanic,F,65+,Allegan,General##,2016,126
Caucasian,F,45-64,Wexford,PresPrimary##,2016,200
Hispanic,M,65+,Lenawee,General##,2018,241
Hispanic,F,65+,Oakland,Primary##,2010,826
Caucasian,F,30-44,Tuscola,Primary##,2020,919
Hispanic,F,45-64,Eaton,Special##,2003,59
Caucasian,F,45-64,Kent,Special##,2006,504
Caucasian,F,18-29,Berrien,General##,2014,185
Asian,M,18-29,Calhoun,General##,2020,34
Caucasian,F,65+,Ottawa,Special##,2005,565
Caucasian,M,65+,Chippewa,General##,2018,185
Caucasian,F,65+,Houghton,General##,2008,245
Caucasian,M,45-64,Saginaw,Primary##,2006,490
Hispanic,M,30-44,Lenawee,PresPrimary##,2020,109
Hispanic,M,65+,St. Clair,Special##,2004,3
Caucasian,F,45-64,Delta,General##,2012,294
Hispanic,M,30-44,Allegan,General##,2016,473
Hispanic,F,45-64,Kent,Primary##,2018,747
Caucasian,M,65+,Bay,Special##,2017,23
Caucasian,M,65+,Bay,Primary##,2004,249
Hispanic,M,30-44,Berrien,PresPrimary##,2020,153
Caucasian,M,45-64,Kent,General##,2009,442
Black,F,65+,Wayne,Special##,2012,986
Hispanic,M,18-29,Cass,General##,2020,76
Black,M,30-44,Ottawa,General##,2016,363
Caucasian,M,65+,Houghton,Special##,2020,124
Caucasian,M,65+,Houghton,Primary##,2008,108
Unknown,F,65+,Muskegon,PresPrimary##,2016,57
Black,F,65+,Wayne,PresPrimary##Party,2008,1227
Hispanic,M,45-64,Wayne,General##,1998,245
Caucasian,M,65+,Gogebic,Primary##,2006,57
Caucasian,M,65+,Tuscola,Special##,2001,53
Caucasian,F,65+,Houghton,PresPrimary##Party,2008,7
Caucasian,M,45-64,Calhoun,Primary##,2002,123
Black,F,65+,Calhoun,General##,2018,581
Caucasian,M,45-64,Shiawassee,Primary##,2012,208
Caucasian,M,65+,Menominee,Special##,2005,28
