RaceName,AgeGroup,CountyName,Sex,participation,count
Black,30-44,WASHTENAW,F,A,5769
Asian,45-64,INGHAM,M,A,567
Caucasian,30-44,LAPEER,M,P,2463
Hispanic,18-29,EATON,M,P,146
Caucasian,65+,JACKSON,F,P,357
Black,65+,INGHAM,F,A,815
Black,65+,JACKSON,M,A,69
Caucasian,30-44,HOUGHTON,M,A,239
Hispanic,30-44,ALLEGAN,M,P,395
Black,18-29,BAY,F,P,82
Caucasian,18-29,DELTA,M,A,183
Unknown,45-64,CALHOUN,M,A,205
Black,45-64,WAYNE,M,M,59
Black,30-44,BAY,M,P,128
Caucasian,45-64,KALAMAZOO,M,E,8
Caucasian,30-44,BERRIEN,M,Y,1
Unknown,18-29,WEXFORD,F,P,1
Hispanic,45-64,ANTRIM,M,A,1
Hispanic,45-64,MACOMB,F,Y,1
Caucasian,30-44,KALAMAZOO,F,P,12809
Asian,65+,WASHTENAW,M,A,676
Black,45-64,ST. CLAIR,M,P,186
Black,65+,KENT,M,P,1495
Caucasian,30-44,GRATIOT,F,P,1030
Hispanic,18-29,WAYNE,M,P,4235
Black,18-29,INGHAM,F,P,2308
Asian,18-29,WAYNE,F,A,3793
Asian,18-29,CALHOUN,M,P,6
Black,18-29,ST. CLAIR,F,P,193
Black,30-44,WASHTENAW,M,A,4098
Caucasian,30-44,CHARLEVOIX,F,A,431
Caucasian,30-44,ROSCOMMON,M,P,329
Caucasian,30-44,CLARE,F,P,766
Hispanic,30-44,LAPEER,F,A,94
Caucasian,65+,ONTONAGON,F,P,25
Unknown,30-44,OAKLAND,F,E,10
Black,65+,ST. CLAIR,F,A,54
Unknown,45-64,MONROE,F,P,32
Black,45-64,MIDLAND,M,A,19
Caucasian,18-29,LENAWEE,F,M,4
Caucasian,30-44,BARAGA,M,A,16
Hispanic,30-44,CALHOUN,M,A,164
Caucasian,65+,OTTAWA,F,E,11
Hispanic,18-29,IOSCO,F,P,10
Black,18-29,VAN BUREN,M,A,37
Caucasian,30-44,ANTRIM,M,Y,2
Asian,30-44,WASHTENAW,F,E,44
Caucasian,30-44,CHIPPEWA,M,E,2
Unknown,18-29,CHIPPEWA,M,A,9
Caucasian,30-44,ISABELLA,F,E,4
Caucasian,30-44,VAN BUREN,M,Y,2
Black,30-44,NEWAYGO,M,A,4
Asian,18-29,OTTAWA,F,E,9
Native American,18-29,CHIPPEWA,F,A,22
Caucasian,65+,MANISTEE,M,M,1
Hispanic,30-44,KALAMAZOO,M,E,16
Hispanic,30-44,MACOMB,M,Y,9
Asian,18-29,OAKLAND,F,A,8228
Caucasian,65+,SAGINAW,F,A,2348
Black,65+,MACOMB,M,P,1486
Hispanic,65+,GRAND TRAVERSE,M,A,21
Unknown,65+,BAY,F,A,47
Caucasian,30-44,LIVINGSTON,F,M,23
Asian,30-44,BERRIEN,M,A,78
Caucasian,65+,CASS,F,P,107
Caucasian,65+,LAKE,M,A,78
Black,45-64,KALAMAZOO,F,M,9
Black,30-44,IONIA,M,A,1
Caucasian,30-44,KALAMAZOO,M,Y,88
Black,18-29,IONIA,F,P,3
Caucasian,30-44,CLINTON,M,Y,9
Asian,45-64,CHIPPEWA,M,A,9
Unknown,30-44,BARAGA,F,A,2
Native American,65+,MACKINAC,F,A,4
Black,30-44,ISABELLA,F,A,36
Caucasian,30-44,BAY,F,E,2
Native American,45-64,LAPEER,M,A,4
Black,65+,BARAGA,M,A,26
Unknown,18-29,JACKSON,F,A,46
Caucasian,18-29,GRAND TRAVERSE,F,E,1
Hispanic,30-44,MISSAUKEE,M,P,9
Asian,30-44,JACKSON,M,P,22
Caucasian,65+,HILLSDALE,M,M,1
Unknown,45-64,MONTCALM,M,P,2
Asian,45-64,HOUGHTON,M,P,1
Hispanic,30-44,LIVINGSTON,M,M,9
Caucasian,18-29,CLINTON,F,Y,9
Caucasian,65+,EATON,F,A,1668
Black,45-64,WAYNE,M,A,73425
Caucasian,45-64,INGHAM,F,P,1719
Caucasian,18-29,ALLEGAN,F,A,1264
Caucasian,45-64,OTTAWA,F,P,1006
Asian,30-44,OAKLAND,M,Y,14
Caucasian,45-64,KALAMAZOO,M,Y,5
Caucasian,30-44,MACOMB,F,E,84
Hispanic,65+,MACOMB,F,A,229
Hispanic,30-44,EATON,M,P,287
Caucasian,65+,ALCONA,M,A,65
Black,65+,JACKSON,M,P,57
Black,18-29,ISABELLA,M,A,101
Caucasian,45-64,MACOMB,M,E,22
Caucasian,30-44,LUCE,M,A,14
