RaceName,Sex,AgeGroup,CountyName,Mass_Incarceration,count
Hispanic,F,45-64,Oakland,Yes,15
Caucasian,F,18-29,Oakland,No,11
Black,F,18-29,Oakland,Yes,46
Black,M,18-29,Oakland,Yes,47
Asian,F,65+,Oakland,Other/Unknown,5
Caucasian,M,30-44,Oakland,Other/Unknown,40
Asian,M,65+,Oakland,Yes,38
Unknown,F,65+,Oakland,Yes,36
Black,M,30-44,Oakland,No,10
Black,M,30-44,Oakland,Other/Unknown,5
Black,F,65+,Oakland,Yes,543
Caucasian,F,18-29,Oakland,Yes,97
Black,M,18-29,Wayne,No,7
Black,F,30-44,Oakland,Other/Unknown,5
Caucasian,F,45-64,Washtenaw,Yes,4
Asian,F,45-64,Oakland,Yes,54
Asian,M,18-29,Oakland,Yes,5
Hispanic,M,18-29,Oakland,Yes,5
Hispanic,M,45-64,Oakland,Yes,11
Caucasian,F,65+,Oakland,No,193
Black,M,65+,Oakland,Other/Unknown,39
Asian,F,45-64,Oakland,Other/Unknown,11
Black,F,30-44,Oakland,No,10
Hispanic,F,65+,Oakland,Other/Unknown,4
Black,M,65+,Oakland,No,15
Asian,M,18-29,Oakland,Other/Unknown,5
Unknown,M,18-29,Oakland,Yes,6
Caucasian,M,45-64,Leelanau,Yes,5
Hispanic,F,30-44,Oakland,Yes,5
Asian,M,30-44,Wayne,Yes,5
Black,M,65+,Wayne,Yes,14
Caucasian,F,65+,Oakland,Other/Unknown,304
Asian,M,45-64,Oakland,No,6
Hispanic,F,65+,Oakland,Yes,5
Black,M,65+,Oakland,Yes,267
Caucasian,F,45-64,Oakland,No,34
Caucasian,M,65+,Oakland,Yes,1170
Caucasian,M,65+,Kent,Yes,4
Caucasian,M,45-64,Oakland,Other/Unknown,50
Black,M,45-64,Oakland,Yes,193
Caucasian,F,30-44,Oakland,Yes,338
Caucasian,F,45-64,Oakland,Other/Unknown,114
Black,F,65+,Oakland,Other/Unknown,89
Black,M,45-64,Oakland,No,6
Unknown,F,65+,Oakland,Other/Unknown,9
Caucasian,F,45-64,Oakland,Yes,987
Caucasian,M,18-29,Oakland,Other/Unknown,14
Caucasian,M,65+,Oakland,No,71
Hispanic,M,30-44,Oakland,Other/Unknown,9
Asian,F,65+,Oakland,Yes,28
Asian,M,30-44,Oakland,Yes,38
Black,F,45-64,Oakland,No,20
Asian,M,65+,Oakland,Other/Unknown,5
Unknown,M,45-64,Oakland,Yes,15
Unknown,F,30-44,Oakland,Yes,5
Caucasian,F,30-44,Oakland,No,5
Hispanic,F,18-29,Oakland,Yes,9
Caucasian,M,65+,Oakland,Other/Unknown,169
Black,M,45-64,Wayne,Yes,3
Unknown,F,18-29,Oakland,Yes,16
Unknown,M,65+,Oakland,Yes,5
Caucasian,M,30-44,Oakland,No,19
Black,M,30-44,Wayne,Yes,5
Black,F,65+,Oakland,No,24
Asian,M,45-64,Oakland,Yes,69
Black,F,45-64,Oakland,Yes,388
Caucasian,F,65+,Washtenaw,Yes,4
Caucasian,F,65+,Ingham,Yes,6
Caucasian,M,65+,Macomb,Yes,5
Black,F,45-64,Oakland,Other/Unknown,39
Black,M,30-44,Oakland,Yes,118
Caucasian,M,45-64,Oakland,No,38
Black,F,18-29,Wayne,Other/Unknown,5
Caucasian,F,30-44,Washtenaw,No,5
Unknown,F,45-64,Oakland,Yes,39
Asian,F,18-29,Oakland,No,5
Caucasian,M,18-29,Oakland,Yes,110
Black,F,30-44,Washtenaw,Yes,3
Unknown,M,65+,Oakland,Other/Unknown,10
Caucasian,F,18-29,Oakland,Other/Unknown,20
Black,M,45-64,Oakland,Other/Unknown,51
Black,F,45-64,Wayne,Yes,5
Caucasian,F,65+,Oakland,Yes,2837
Unknown,F,45-64,Oakland,No,5
Black,F,45-64,Macomb,Yes,5
Caucasian,F,30-44,Oakland,Other/Unknown,35
Caucasian,M,45-64,Oakland,Yes,574
Caucasian,M,65+,Livingston,Yes,5
Caucasian,F,65+,Macomb,No,5
Hispanic,M,30-44,Oakland,Yes,5
Asian,F,30-44,Oakland,Yes,14
Asian,M,45-64,Oakland,Other/Unknown,6
Caucasian,M,30-44,Oakland,Yes,237
Black,F,30-44,Oakland,Yes,98
