,RaceName,Sex,AgeGroup,CountyName,CommunicationType,CampaignType,Count
0,Asian,F,18-29,Allegan,call,lpv,3
1,Asian,F,18-29,Allegan,text,lpv,6
2,Asian,F,18-29,Alpena,text,lpv,1
3,Asian,F,18-29,Bay,call,lpv,13
4,Asian,F,18-29,Bay,mail,lpv,6
5,Asian,F,18-29,Bay,text,lpv,46
6,Asian,F,18-29,Berrien,call,lpv,25
7,Asian,F,18-29,Berrien,mail,lpv,1
8,Asian,F,18-29,Berrien,text,lpv,42
9,Asian,F,18-29,Calhoun,call,lpv,11
10,Asian,F,18-29,Calhoun,mail,lpv,25
11,Asian,F,18-29,Calhoun,text,lpv,68
12,Asian,F,18-29,Calhoun,text,scomi,10
13,Asian,F,18-29,Charlevoix,text,lpv,1
14,Asian,F,18-29,Chippewa,text,lpv,1
15,Asian,F,18-29,Clinton,call,lpv,9
16,Asian,F,18-29,Clinton,text,lpv,14
17,Asian,F,18-29,Eaton,call,lpv,11
18,Asian,F,18-29,Eaton,text,lpv,31
19,Asian,F,18-29,Genesee,call,lpv,26
20,Asian,F,18-29,Genesee,mail,lpv,5
21,Asian,F,18-29,Genesee,text,lpv,74
22,Asian,F,18-29,Genesee,text,scomi,2
23,Asian,F,18-29,Grand Traverse,call,lpv,1
24,Asian,F,18-29,Gratiot,call,lpv,1
25,Asian,F,18-29,Ingham,call,lpv,201
26,Asian,F,18-29,Ingham,mail,lpv,326
27,Asian,F,18-29,Ingham,postcards,lpv,4
28,Asian,F,18-29,Ingham,text,lpv,737
29,Asian,F,18-29,Ingham,text,scomi,29
30,Asian,F,18-29,Isabella,call,lpv,6
31,Asian,F,18-29,Isabella,mail,lpv,20
32,Asian,F,18-29,Isabella,text,lpv,24
33,Asian,F,18-29,Jackson,call,lpv,6
34,Asian,F,18-29,Jackson,text,lpv,17
35,Asian,F,18-29,Kalamazoo,call,lpv,86
36,Asian,F,18-29,Kalamazoo,mail,lpv,144
37,Asian,F,18-29,Kalamazoo,text,lpv,415
38,Asian,F,18-29,Kalamazoo,text,scomi,26
39,Asian,F,18-29,Kent,call,lpv,242
40,Asian,F,18-29,Kent,mail,lpv,208
41,Asian,F,18-29,Kent,text,lpv,820
42,Asian,F,18-29,Kent,text,scomi,45
43,Asian,F,18-29,Lenawee,text,lpv,2
44,Asian,F,18-29,Lenawee,text,scomi,2
45,Asian,F,18-29,Livingston,call,lpv,9
46,Asian,F,18-29,Livingston,text,lpv,12
47,Asian,F,18-29,Macomb,call,lpv,683
48,Asian,F,18-29,Macomb,call,oakland,12
49,Asian,F,18-29,Macomb,mail,lpv,1280
50,Asian,F,18-29,Macomb,mail,oakland,36
51,Asian,F,18-29,Macomb,phone,oakland,12
53,Asian,F,18-29,Macomb,text,lpv,3312
54,Asian,F,18-29,Macomb,text,oakland,1
56,Asian,F,18-29,Macomb,text,scomi,334
57,Asian,F,18-29,Marquette,mail,lpv,1
58,Asian,F,18-29,Marquette,text,lpv,4
59,Asian,F,18-29,Midland,call,lpv,11
60,Asian,F,18-29,Midland,postcards,lpv,1
61,Asian,F,18-29,Midland,text,lpv,25
62,Asian,F,18-29,Monroe,call,lpv,1
63,Asian,F,18-29,Oakland,call,lpv,22
64,Asian,F,18-29,Oakland,call,oakland,192
65,Asian,F,18-29,Oakland,mail,lpv,1794
66,Asian,F,18-29,Oakland,mail,oakland,3468
67,Asian,F,18-29,Oakland,phone,oakland,230
69,Asian,F,18-29,Oakland,postcards,lpv,34
70,Asian,F,18-29,Oakland,text,lpv,1937
71,Asian,F,18-29,Oakland,text,oakland,2259
74,Asian,F,18-29,Oakland,text,scomi,88
75,Asian,F,18-29,Ottawa,call,lpv,90
76,Asian,F,18-29,Ottawa,mail,lpv,125
77,Asian,F,18-29,Ottawa,postcards,lpv,6
78,Asian,F,18-29,Ottawa,text,lpv,487
79,Asian,F,18-29,Ottawa,text,scomi,44
80,Asian,F,18-29,Saginaw,call,lpv,22
81,Asian,F,18-29,Saginaw,mail,lpv,5
82,Asian,F,18-29,Saginaw,postcards,lpv,6
83,Asian,F,18-29,Saginaw,text,lpv,67
84,Asian,F,18-29,Saginaw,text,scomi,3
85,Asian,F,18-29,Shiawassee,call,lpv,5
86,Asian,F,18-29,Shiawassee,mail,lpv,1
87,Asian,F,18-29,Shiawassee,text,lpv,8
88,Asian,F,18-29,Washtenaw,call,lpv,748
89,Asian,F,18-29,Washtenaw,mail,lpv,1572
90,Asian,F,18-29,Washtenaw,mail,oakland,10
91,Asian,F,18-29,Washtenaw,postcards,lpv,25
92,Asian,F,18-29,Washtenaw,text,lpv,3443
93,Asian,F,18-29,Washtenaw,text,oakland,7
95,Asian,F,18-29,Washtenaw,text,scomi,251
96,Asian,F,18-29,Wayne,call,lpv,855
97,Asian,F,18-29,Wayne,call,oakland,5
98,Asian,F,18-29,Wayne,mail,lpv,1603
99,Asian,F,18-29,Wayne,mail,oakland,15
100,Asian,F,18-29,Wayne,phone,oakland,5
101,Asian,F,18-29,Wayne,postcards,lpv,12
102,Asian,F,18-29,Wayne,text,lpv,3931
103,Asian,F,18-29,Wayne,text,oakland,2
105,Asian,F,18-29,Wayne,text,scomi,425
106,Asian,F,30-44,Allegan,mail,lpv,1
107,Asian,F,30-44,Allegan,text,lpv,18
108,Asian,F,30-44,Alpena,text,lpv,1
109,Asian,F,30-44,Arenac,text,lpv,1
110,Asian,F,30-44,Barry,call,lpv,3
111,Asian,F,30-44,Barry,text,lpv,6
112,Asian,F,30-44,Bay,call,lpv,15
113,Asian,F,30-44,Bay,mail,lpv,1
114,Asian,F,30-44,Bay,text,lpv,44
115,Asian,F,30-44,Berrien,call,lpv,53
116,Asian,F,30-44,Berrien,mail,lpv,2
117,Asian,F,30-44,Berrien,postcards,lpv,5
118,Asian,F,30-44,Berrien,text,lpv,127
119,Asian,F,30-44,Calhoun,call,lpv,15
120,Asian,F,30-44,Calhoun,mail,lpv,49
121,Asian,F,30-44,Calhoun,text,lpv,121
122,Asian,F,30-44,Calhoun,text,scomi,26
123,Asian,F,30-44,Cass,call,lpv,1
124,Asian,F,30-44,Cass,mail,lpv,1
125,Asian,F,30-44,Cass,text,lpv,2
126,Asian,F,30-44,Cass,text,oakland,2
127,Asian,F,30-44,Charlevoix,call,lpv,3
128,Asian,F,30-44,Charlevoix,text,lpv,6
129,Asian,F,30-44,Clinton,call,lpv,7
130,Asian,F,30-44,Clinton,mail,lpv,4
131,Asian,F,30-44,Clinton,text,lpv,38
132,Asian,F,30-44,Dickinson,text,lpv,1
133,Asian,F,30-44,Eaton,call,lpv,30
134,Asian,F,30-44,Eaton,text,lpv,83
135,Asian,F,30-44,Genesee,call,lpv,41
136,Asian,F,30-44,Genesee,mail,lpv,12
137,Asian,F,30-44,Genesee,postcards,lpv,2
138,Asian,F,30-44,Genesee,text,lpv,115
139,Asian,F,30-44,Genesee,text,oakland,6
141,Asian,F,30-44,Genesee,text,scomi,2
142,Asian,F,30-44,Grand Traverse,call,lpv,1
143,Asian,F,30-44,Grand Traverse,text,lpv,1
144,Asian,F,30-44,Houghton,call,lpv,3
145,Asian,F,30-44,Houghton,text,lpv,7
146,Asian,F,30-44,Ingham,call,lpv,196
147,Asian,F,30-44,Ingham,mail,lpv,207
148,Asian,F,30-44,Ingham,postcards,lpv,1
149,Asian,F,30-44,Ingham,text,lpv,842
150,Asian,F,30-44,Ingham,text,scomi,49
151,Asian,F,30-44,Iosco,call,lpv,4
152,Asian,F,30-44,Iosco,mail,lpv,1
153,Asian,F,30-44,Iosco,text,lpv,12
154,Asian,F,30-44,Isabella,text,lpv,18
155,Asian,F,30-44,Jackson,call,lpv,16
156,Asian,F,30-44,Jackson,text,lpv,31
157,Asian,F,30-44,Kalamazoo,call,lpv,98
158,Asian,F,30-44,Kalamazoo,mail,lpv,76
159,Asian,F,30-44,Kalamazoo,text,lpv,469
160,Asian,F,30-44,Kalamazoo,text,scomi,26
161,Asian,F,30-44,Kent,call,lpv,267
162,Asian,F,30-44,Kent,mail,lpv,196
163,Asian,F,30-44,Kent,postcards,lpv,8
164,Asian,F,30-44,Kent,text,lpv,978
166,Asian,F,30-44,Kent,text,scomi,63
167,Asian,F,30-44,Livingston,call,lpv,24
168,Asian,F,30-44,Livingston,text,lpv,57
169,Asian,F,30-44,Macomb,call,lpv,1250
170,Asian,F,30-44,Macomb,call,oakland,7
171,Asian,F,30-44,Macomb,mail,lpv,2308
172,Asian,F,30-44,Macomb,mail,oakland,21
173,Asian,F,30-44,Macomb,phone,oakland,7
175,Asian,F,30-44,Macomb,postcards,lpv,12
176,Asian,F,30-44,Macomb,text,lpv,6564
177,Asian,F,30-44,Macomb,text,oakland,15
179,Asian,F,30-44,Macomb,text,scomi,668
180,Asian,F,30-44,Mecosta,text,lpv,2
181,Asian,F,30-44,Midland,call,lpv,5
182,Asian,F,30-44,Midland,text,lpv,16
183,Asian,F,30-44,Monroe,text,lpv,2
184,Asian,F,30-44,Muskegon,call,lpv,8
185,Asian,F,30-44,Muskegon,mail,lpv,2
186,Asian,F,30-44,Muskegon,text,lpv,10
187,Asian,F,30-44,Oakland,call,lpv,23
188,Asian,F,30-44,Oakland,call,oakland,379
189,Asian,F,30-44,Oakland,mail,lpv,2273
190,Asian,F,30-44,Oakland,mail,oakland,5248
191,Asian,F,30-44,Oakland,phone,oakland,425
193,Asian,F,30-44,Oakland,postcards,lpv,60
194,Asian,F,30-44,Oakland,text,lpv,3105
195,Asian,F,30-44,Oakland,text,oakland,4458
198,Asian,F,30-44,Oakland,text,scomi,191
199,Asian,F,30-44,Otsego,text,lpv,1
200,Asian,F,30-44,Ottawa,call,lpv,152
201,Asian,F,30-44,Ottawa,mail,lpv,147
202,Asian,F,30-44,Ottawa,postcards,lpv,8
203,Asian,F,30-44,Ottawa,text,lpv,835
204,Asian,F,30-44,Ottawa,text,scomi,52
205,Asian,F,30-44,Saginaw,call,lpv,13
206,Asian,F,30-44,Saginaw,text,lpv,30
207,Asian,F,30-44,Shiawassee,call,lpv,1
208,Asian,F,30-44,Shiawassee,text,lpv,6
209,Asian,F,30-44,St. Clair,mail,lpv,4
210,Asian,F,30-44,St. Clair,text,lpv,1
211,Asian,F,30-44,St. Joseph,postcards,lpv,1
212,Asian,F,30-44,St. Joseph,text,lpv,1
213,Asian,F,30-44,Van Buren,call,lpv,8
214,Asian,F,30-44,Van Buren,text,lpv,18
215,Asian,F,30-44,Washtenaw,call,lpv,657
216,Asian,F,30-44,Washtenaw,mail,lpv,968
217,Asian,F,30-44,Washtenaw,mail,oakland,22
218,Asian,F,30-44,Washtenaw,postcards,lpv,20
219,Asian,F,30-44,Washtenaw,text,lpv,3922
220,Asian,F,30-44,Washtenaw,text,oakland,12
222,Asian,F,30-44,Washtenaw,text,scomi,350
223,Asian,F,30-44,Wayne,call,lpv,1264
224,Asian,F,30-44,Wayne,mail,lpv,2194
225,Asian,F,30-44,Wayne,mail,oakland,19
227,Asian,F,30-44,Wayne,postcards,lpv,35
228,Asian,F,30-44,Wayne,text,lpv,5856
229,Asian,F,30-44,Wayne,text,oakland,11
231,Asian,F,30-44,Wayne,text,scomi,718
232,Asian,F,45-64,Allegan,call,lpv,1
233,Asian,F,45-64,Bay,call,lpv,6
234,Asian,F,45-64,Bay,mail,lpv,1
235,Asian,F,45-64,Bay,text,lpv,6
236,Asian,F,45-64,Berrien,call,lpv,63
237,Asian,F,45-64,Berrien,mail,lpv,3
238,Asian,F,45-64,Berrien,postcards,lpv,2
239,Asian,F,45-64,Berrien,text,lpv,113
240,Asian,F,45-64,Branch,text,lpv,2
241,Asian,F,45-64,Calhoun,call,lpv,25
242,Asian,F,45-64,Calhoun,mail,lpv,45
243,Asian,F,45-64,Calhoun,text,lpv,100
244,Asian,F,45-64,Calhoun,text,scomi,8
245,Asian,F,45-64,Chippewa,postcards,lpv,2
246,Asian,F,45-64,Chippewa,text,lpv,2
247,Asian,F,45-64,Clinton,call,lpv,6
248,Asian,F,45-64,Clinton,text,lpv,13
249,Asian,F,45-64,Eaton,call,lpv,29
250,Asian,F,45-64,Eaton,mail,lpv,1
251,Asian,F,45-64,Eaton,text,lpv,83
252,Asian,F,45-64,Eaton,text,scomi,1
253,Asian,F,45-64,Genesee,call,lpv,70
254,Asian,F,45-64,Genesee,mail,lpv,3
255,Asian,F,45-64,Genesee,text,lpv,165
256,Asian,F,45-64,Genesee,text,scomi,3
257,Asian,F,45-64,Grand Traverse,call,lpv,4
258,Asian,F,45-64,Grand Traverse,text,lpv,14
259,Asian,F,45-64,Grand Traverse,text,oakland,2
261,Asian,F,45-64,Houghton,call,lpv,9
262,Asian,F,45-64,Houghton,text,lpv,18
263,Asian,F,45-64,Ingham,call,lpv,246
264,Asian,F,45-64,Ingham,mail,lpv,130
265,Asian,F,45-64,Ingham,postcards,lpv,3
266,Asian,F,45-64,Ingham,text,lpv,903
267,Asian,F,45-64,Ingham,text,scomi,67
268,Asian,F,45-64,Iosco,call,lpv,4
269,Asian,F,45-64,Iosco,text,lpv,12
270,Asian,F,45-64,Isabella,call,lpv,1
271,Asian,F,45-64,Isabella,mail,lpv,2
272,Asian,F,45-64,Isabella,text,lpv,9
273,Asian,F,45-64,Jackson,call,lpv,6
274,Asian,F,45-64,Jackson,text,lpv,8
275,Asian,F,45-64,Kalamazoo,call,lpv,107
276,Asian,F,45-64,Kalamazoo,mail,lpv,43
277,Asian,F,45-64,Kalamazoo,text,lpv,273
278,Asian,F,45-64,Kalamazoo,text,scomi,17
279,Asian,F,45-64,Kent,call,lpv,466
280,Asian,F,45-64,Kent,mail,lpv,270
281,Asian,F,45-64,Kent,postcards,lpv,5
282,Asian,F,45-64,Kent,text,lpv,1228
283,Asian,F,45-64,Kent,text,scomi,50
284,Asian,F,45-64,Lake,text,lpv,1
285,Asian,F,45-64,Lapeer,call,lpv,1
286,Asian,F,45-64,Lapeer,text,oakland,2
288,Asian,F,45-64,Lenawee,text,lpv,2
289,Asian,F,45-64,Livingston,call,lpv,17
290,Asian,F,45-64,Livingston,mail,lpv,2
291,Asian,F,45-64,Livingston,text,lpv,23
292,Asian,F,45-64,Livingston,text,oakland,2
