,CountyName,Voter File VANID,All Registered Voters,fraction,RaceName,Sex,AgeGroup,FIPS
0,Alcona,811,9862,0.08223484080308253,All,All,All,26001
1,Alger,706,7507,0.09404555747968563,All,All,All,26003
2,Allegan,14696,93297,0.15751846254434762,All,All,All,26005
3,Alpena,2829,24379,0.11604249559046721,All,All,All,26007
4,Antrim,2569,21889,0.1173648864726575,All,All,All,26009
5,Arenac,1377,12685,0.10855340953882539,All,All,All,26011
6,Baraga,884,6514,0.1357077064783543,All,All,All,26013
7,Barry,5888,49558,0.11881028290084346,All,All,All,26015
8,Bay,19922,83916,0.23740407073740408,All,All,All,26017
9,Benzie,2145,16192,0.1324728260869565,All,All,All,26019
10,Berrien,33995,130239,0.2610201245402683,All,All,All,26021
11,Branch,3396,33088,0.10263539651837524,All,All,All,26023
12,Calhoun,32212,103956,0.3098618646350379,All,All,All,26025
13,Cass,4833,42700,0.11318501170960188,All,All,All,26027
14,Charlevoix,3230,23524,0.1373065805135181,All,All,All,26029
15,Cheboygan,2342,22455,0.10429748385660209,All,All,All,26031
16,Chippewa,3568,25742,0.13860616890684485,All,All,All,26033
17,Clare,2743,25075,0.10939182452642074,All,All,All,26035
18,Clinton,11862,61272,0.1935957696827262,All,All,All,26037
19,Crawford,1219,11876,0.10264398787470529,All,All,All,26039
20,Delta,3439,30641,0.11223524036421788,All,All,All,26041
21,Dickinson,2521,22511,0.11198969392741326,All,All,All,26043
22,Eaton,20304,86623,0.23439502210729252,All,All,All,26045
23,Emmet,3903,30071,0.12979282365069336,All,All,All,26047
24,Genesee,135953,342603,0.39682372892239703,All,All,All,26049
25,Gladwin,2351,21735,0.10816655164481251,All,All,All,26051
26,Gogebic,1727,13543,0.12751975190135126,All,All,All,26053
27,Grand Traverse,11725,74896,0.15655041657765434,All,All,All,26055
28,Gratiot,3696,27973,0.1321274085725521,All,All,All,26057
29,Hillsdale,3399,35872,0.0947535682426405,All,All,All,26059
30,Houghton,3236,26030,0.12431809450633884,All,All,All,26061
31,Huron,3068,25938,0.11828205721335493,All,All,All,26063
32,Ingham,91417,208443,0.43857073636437777,All,All,All,26065
33,Ionia,7658,46642,0.1641867844432057,All,All,All,26067
34,Iosco,2374,22401,0.10597741172269096,All,All,All,26069
35,Iron,1036,10237,0.10120152388395037,All,All,All,26071
36,Isabella,10357,45686,0.2266996454055947,All,All,All,26073
37,Jackson,20991,120761,0.17382267453896538,All,All,All,26075
38,Kalamazoo,69006,205006,0.33660478229905466,All,All,All,26077
39,Kalkaska,1683,15866,0.1060758855414093,All,All,All,26079
40,Kent,165526,491634,0.33668542045505395,All,All,All,26081
41,Keweenaw,199,1967,0.10116929334011185,All,All,All,26083
42,Lake,1188,9939,0.11952912767884093,All,All,All,26085
43,Lapeer,10442,71460,0.1461237055695494,All,All,All,26087
44,Leelanau,2709,20859,0.12987199769883503,All,All,All,26089
45,Lenawee,14888,78066,0.1907104245125919,All,All,All,26091
46,Livingston,28474,159520,0.17849799398194582,All,All,All,26093
47,Luce,402,4515,0.08903654485049833,All,All,All,26095
48,Mackinac,1170,10069,0.11619823219783494,All,All,All,26097
49,Macomb,260662,683789,0.38120238845608806,All,All,All,26099
50,Manistee,2954,20846,0.1417058428475487,All,All,All,26101
51,Marquette,11529,53065,0.2172618486761519,All,All,All,26103
52,Mason,3205,24394,0.13138476674592112,All,All,All,26105
53,Mecosta,4327,30742,0.14075206557803657,All,All,All,26107
54,Menominee,1659,19397,0.08552869000360881,All,All,All,26109
55,Midland,9809,68544,0.14310515873015872,All,All,All,26111
56,Missaukee,1010,12076,0.08363696588274264,All,All,All,26113
57,Monroe,26128,128761,0.2029185855965704,All,All,All,26115
58,Montcalm,6210,47647,0.13033349423888177,All,All,All,26117
59,Montmorency,775,8569,0.09044229198272843,All,All,All,26119
60,Muskegon,41874,139477,0.30022154190296607,All,All,All,26121
61,Newaygo,5809,39590,0.14672897196261683,All,All,All,26123
62,Oakland,921823,1014729,0.9084425496856796,All,All,All,26125
63,Oceana,2569,21086,0.12183439248790667,All,All,All,26127
64,Ogemaw,2112,17617,0.11988420275869899,All,All,All,26129
65,Ontonagon,354,5589,0.06333870101986044,All,All,All,26131
66,Osceola,1575,18315,0.085995085995086,All,All,All,26133
67,Oscoda,665,7194,0.09243814289685849,All,All,All,26135
68,Otsego,2461,22422,0.10975827312460976,All,All,All,26137
69,Ottawa,54832,218149,0.25135114073408543,All,All,All,26139
70,Presque Isle,1114,10580,0.10529300567107751,All,All,All,26141
71,Roscommon,2374,22621,0.10494673091375271,All,All,All,26143
72,Saginaw,68878,154025,0.4471871449440026,All,All,All,26145
73,Sanilac,3478,31503,0.11040218391899184,All,All,All,26151
74,Schoolcraft,597,7135,0.08367203924316749,All,All,All,26153
75,Shiawassee,8645,55565,0.15558355079636463,All,All,All,26155
76,St. Clair,29204,132520,0.22037428312707516,All,All,All,26147
77,St. Joseph,5153,46555,0.11068628503920094,All,All,All,26149
78,Tuscola,5034,42548,0.11831343423897715,All,All,All,26157
79,Van Buren,9748,60220,0.16187313184988375,All,All,All,26159
80,Washtenaw,132564,308985,0.42903053546288655,All,All,All,26161
81,Wayne,788603,1381272,0.5709252051732027,All,All,All,26163
82,Wexford,3004,27190,0.11048179477749172,All,All,All,26165
