RaceName,Sex,AgeGroup,CountyName,MarijuanaConviction,count
Hispanic,F,45-64,Oakland,Yes,15
Caucasian,F,18-29,Oakland,No,10
Black,F,18-29,Oakland,Yes,45
Asian,F,65+,Oakland,Other/Unknown,9
Black,M,18-29,Oakland,Yes,62
Caucasian,M,30-44,Oakland,Other/Unknown,23
Asian,M,65+,Oakland,Yes,52
Unknown,F,65+,Oakland,Yes,41
Black,M,30-44,Oakland,No,19
Asian,F,45-64,Oakland,No,5
Black,M,30-44,Oakland,Other/Unknown,5
Black,F,65+,Oakland,Yes,658
Caucasian,F,18-29,Oakland,Yes,115
Black,M,18-29,Wayne,No,7
Black,F,30-44,Oakland,Other/Unknown,6
Caucasian,F,45-64,Washtenaw,Yes,4
Asian,F,45-64,Oakland,Yes,70
Asian,M,18-29,Oakland,Yes,10
Hispanic,M,18-29,Oakland,Yes,5
Hispanic,M,45-64,Oakland,Yes,11
Caucasian,F,65+,Oakland,No,182
Black,M,65+,Oakland,Other/Unknown,37
Caucasian,F,65+,Macomb,Yes,5
Asian,F,45-64,Oakland,Other/Unknown,5
Black,F,30-44,Oakland,No,5
Caucasian,M,18-29,Oakland,No,5
Hispanic,F,65+,Oakland,Other/Unknown,4
Black,M,65+,Oakland,No,16
Caucasian,M,45-64,Emmet,Yes,5
Unknown,M,18-29,Oakland,Yes,11
Black,F,18-29,Oakland,No,10
Caucasian,M,45-64,Leelanau,Yes,5
Hispanic,F,30-44,Oakland,Yes,5
Asian,M,30-44,Wayne,Yes,5
Black,M,65+,Wayne,Yes,14
Caucasian,F,65+,Oakland,Other/Unknown,209
Asian,M,45-64,Oakland,No,6
Hispanic,F,65+,Oakland,Yes,5
Black,M,65+,Oakland,Yes,322
Caucasian,F,45-64,Oakland,No,68
Unknown,F,18-29,Oakland,No,5
Caucasian,M,65+,Oakland,Yes,1364
Caucasian,M,65+,Kent,Yes,4
Caucasian,M,45-64,Oakland,Other/Unknown,28
Black,M,45-64,Oakland,Yes,249
Caucasian,F,30-44,Oakland,Yes,401
Unknown,F,45-64,Oakland,Other/Unknown,5
Caucasian,F,45-64,Oakland,Other/Unknown,107
Black,F,65+,Oakland,Other/Unknown,77
Black,M,45-64,Oakland,No,14
Unknown,F,65+,Oakland,Other/Unknown,4
Caucasian,F,45-64,Oakland,Yes,1135
Caucasian,M,18-29,Oakland,Other/Unknown,5
Caucasian,M,65+,Oakland,No,79
Hispanic,M,30-44,Oakland,Other/Unknown,4
Asian,F,65+,Oakland,Yes,29
Asian,M,30-44,Oakland,Yes,38
Black,F,45-64,Oakland,No,27
Asian,M,65+,Oakland,Other/Unknown,9
Unknown,M,45-64,Oakland,Yes,15
Unknown,F,30-44,Oakland,Yes,5
Caucasian,F,30-44,Oakland,No,14
Hispanic,F,18-29,Oakland,Yes,9
Caucasian,M,65+,Oakland,Other/Unknown,172
Black,F,18-29,Wayne,Yes,5
Black,M,45-64,Wayne,Yes,3
Unknown,F,18-29,Oakland,Yes,11
Unknown,M,65+,Oakland,Yes,15
Caucasian,M,30-44,Oakland,No,19
Black,M,30-44,Wayne,Yes,5
Black,F,65+,Oakland,No,19
Asian,M,45-64,Oakland,Yes,80
Black,F,45-64,Oakland,Yes,439
Caucasian,F,65+,Washtenaw,Yes,4
Caucasian,F,65+,Ingham,Yes,6
Caucasian,M,65+,Macomb,Yes,5
Black,F,45-64,Oakland,Other/Unknown,39
Black,M,30-44,Oakland,Yes,119
Caucasian,M,45-64,Oakland,No,38
Caucasian,F,30-44,Washtenaw,No,5
Unknown,F,45-64,Oakland,Yes,43
Asian,F,18-29,Oakland,No,5
Caucasian,M,18-29,Oakland,Yes,124
Black,F,45-64,Wayne,No,5
Black,F,30-44,Washtenaw,Yes,3
Caucasian,F,18-29,Oakland,Other/Unknown,17
Black,M,45-64,Oakland,Other/Unknown,23
Caucasian,F,65+,Oakland,Yes,3326
Unknown,F,45-64,Oakland,No,5
Black,F,45-64,Macomb,Yes,5
Caucasian,F,30-44,Oakland,Other/Unknown,24
Caucasian,M,45-64,Oakland,Yes,623
Caucasian,M,65+,Livingston,Yes,5
Hispanic,M,30-44,Oakland,Yes,10
Asian,F,30-44,Oakland,Yes,14
Caucasian,M,30-44,Oakland,Yes,272
Black,F,30-44,Oakland,Yes,121
